STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDFG,WESD,WESF,WSFG
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-01,,,0.01,,1.6,-3,13,-20,30,,,116.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-02,,,0.00,,1.6,8,18,-2,25,,,111.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-03,,,0.01,,1.2,11,18,5,20,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-04,,,0.00,,1.2,1,14,-12,34,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-05,,,0.00,,1.2,-9,-3,-16,31,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-06,,,0.00,,1.2,-11,-3,-19,30,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-07,,,0.04,,1.2,5,25,-14,20,,,102.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-08,,,0.20,,1.2,29,33,25,27,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-09,,,,,1.2,,,27,,,,
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-10,,,0.00,,1.2,30,39,22,16,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-11,,,0.55,,0.0,44,49,39,19,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-12,,,0.40,,0.0,28,51,5,36,,,102.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-13,,,0.00,,0.8,-1,5,-7,33,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-14,,,0.01,,0.4,5,17,-8,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-15,,,0.07,,1.6,9,13,5,11,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-16,,,0.04,,1.6,15,22,8,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-17,,,,,1.6,,,7,22,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-18,,,0.00,,0.8,16,20,13,26,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-19,,,0.00,,0.8,26,34,18,24,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-20,,,0.00,,0.8,36,41,32,23,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-21,,,0.00,,0.0,35,40,30,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-22,,,0.43,,0.0,35,38,33,11,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-23,,,0.18,,0.4,29,41,16,30,,,111.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-24,,,0.00,,0.4,10,16,5,32,,,102.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-25,,,0.00,,0.0,15,22,7,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-26,,,0.00,,0.4,29,38,20,16,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-27,,,0.00,,0.0,38,46,31,24,,,98.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-28,,,0.00,,0.0,27,35,20,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-29,,,0.15,,0.0,19,24,14,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-30,,,0.03,,1.6,5,14,-4,31,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-01-31,,,,,0.8,,,-5,16,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-01,,,0.00,,15.0,24,38,10,30,,,127.5
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-02,,,0.02,,15.0,4,11,-4,34,,,73.8
